timestamp,method,path,status_code,response_time_ms
2026-04-26T15:38:04,GET,/analytics/request-logs,200,3635
2026-04-26T15:38:27,GET,/,200,0
2026-04-26T15:38:27,GET,/analytics/web-logs,200,383
2026-04-26T15:38:28,GET,/analytics/request-logs,200,289
2026-04-26T15:38:32,GET,/analytics/request-logs,200,269
2026-04-26T16:30:25,GET,/analytics/web-logs-sql,200,4070
2026-04-27T13:28:26,GET,/analytics/web-logs-window,200,4079
2026-04-27T21:17:50,GET,/analytics/web-logs,200,4956
2026-04-27T21:17:54,GET,/analytics/web-logs-cached,200,614
2026-04-28T10:03:09,GET,/analytics/web-logs-udf,200,4668
2026-04-28T10:29:35,GET,/analytics/web-logs-partition,200,4564
2026-04-28T11:44:34,GET,/analytics/web-logs-kmeans,200,6600
