timestamp,user_id,path,status_code,response_time_ms
2026-01-01T09:00:00,u001,/,200,12
2026-01-01T09:01:00,u002,/products,200,45
2026-01-01T09:02:00,u003,/products/1,200,30
2026-01-01T09:03:00,u001,/cart,200,20
2026-01-01T09:04:00,u004,/,200,11
2026-01-01T09:05:00,u005,/products,404,18
2026-01-01T09:06:00,u002,/checkout,500,200
2026-01-01T09:07:00,u003,/,200,10
2026-01-01T09:08:00,u006,/products/2,200,35
2026-01-01T09:09:00,u001,/checkout,200,180
2026-01-01T09:10:00,u007,/cart,404,15
2026-01-01T09:11:00,u008,/products,200,42
2026-01-01T09:12:00,u004,/products/3,500,220
2026-01-01T09:13:00,u005,/,200,13
2026-01-01T09:14:00,u009,/checkout,200,175
2026-01-01T09:15:00,u010,/products,200,40
